Loading data to memory...
Loading data to memory done!
Loading data to scheduler...
Loading data to scheduler done!
Running scheduler...
pushing USDJPY 2014-06-11 18:18:49.470
pushing USDJPY 2014-06-11 18:19:38.283
pushing USDJPY 2014-06-11 18:19:38.627
pushing USDJPY 2014-06-11 18:19:46.877
pushing USDJPY 2014-06-11 18:19:52.390
pushing USDJPY 2014-06-11 18:19:52.703
pushing USDJPY 2014-06-11 18:20:08.860
pushing USDJPY 2014-06-11 18:20:09.220
pushing USDJPY 2014-06-11 18:20:09.890
pushing USDJPY 2014-06-11 18:20:10.237
pushing USDJPY 2014-06-11 18:20:20.563
pushing USDJPY 2014-06-11 18:20:20.923
pushing USDJPY 2014-06-11 18:20:22.280
pushing USDJPY 2014-06-11 18:20:41.530
pushing USDJPY 2014-06-11 18:21:00.077
pushing USDJPY 2014-06-11 18:21:05.250
pushing USDJPY 2014-06-11 18:21:06.280
pushing USDJPY 2014-06-11 18:21:21.407
pushing USDJPY 2014-06-11 18:21:21.733
pushing USDJPY 2014-06-11 18:21:22.093
